"","Age","Gender","Kids","Education","WorkStatus","AnnIncome","Occupation","TenureY","TenureM","CommSize","Country","Marital","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfP","OthersP","DPMean","AIPMean","GPMean","SWLSMean"
"14",28,"Male","No","grade","full-time",150000,"",1,3,"Small Town","Saudi Arabia","Single",0,0,5,4,5,4,4,2,4,3,5,4,5,4,3,4,4,5,3,5,4,4,4,3,4,4,3,3,3,5,4,5,4,4,3,3,4,3,4,4,3,3,3,3,4,2,2,"yes","yes",4.4,4,3.65,2.8
"15",55,"Male","Yes","ltuni","full-time",250000,"",NA,0,"Small Town","Saudi Arabia","Separated",1,1,2,2,1,1,1,2,2,3,2,1,2,2,3,2,2,4,3,3,2,2,2,2,3,3,2,3,2,3,2,1,5,2,2,2,3,2,2,3,2,3,2,1,3,2,1,"no","yes",1.4,2,2.45,1.8
"16",55,"Female","Yes","phd","full-time",10000,"",NA,0,"Small Town","Bulgaria","Widowed",1,0,4,4,3,3,3,2,1,1,3,2,3,2,4,1,4,4,2,3,2,2,4,3,1,4,3,2,4,3,4,3,3,4,2,2,3,3,3,3,4,1,1,3,2,3,2,"yes","no",3.4,2,2.95,2.2
"17",28,"Female","No","ltuni","unemployed",10000,"",0,0,"Village","Bulgaria","Married",0,0,5,5,5,5,4,1,1,3,1,5,5,5,4,5,5,5,3,2,1,2,5,3,4,3,4,2,5,4,5,5,1,5,3,3,5,2,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3,3.95,1
"18",55,"Female","No","phd","full-time",10000,"",5,0,"Small Town","Macedonia","Married",0,0,4,4,4,2,2,3,2,5,2,4,4,3,4,3,4,3,2,3,2,3,4,3,2,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,5,4,3,3,2,3,2,"yes","no",3.2,3,3.5,2.6
"19",28,"Female","Yes","deg","full-time",NA,"",8,9,"Small Town","Sri Lanka","Married",0,1,5,4,5,4,4,2,2,2,3,4,5,3,4,4,5,4,5,4,4,5,1,3,4,5,1,4,4,3,5,4,5,4,3,4,5,5,4,5,4,4,5,4,3,4,2,"yes","no",4.4,4,3.85,3.6
"20",45,"Male","Yes","ma","full-time",55000,"",1,0,"Village","Ecuador","Married",2,1,4,4,4,4,4,4,2,2,3,4,2,2,3,2,3,4,1,2,1,3,4,1,3,2,4,3,4,4,4,2,2,3,2,2,4,4,2,3,4,3,2,3,2,3,2,"yes","yes",4,3,3,2.4
"21",45,"Male","Yes","deg","full-time",35000,"",5,0,"Village","Ecuador","Married",2,2,5,5,4,4,4,3,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,3,3,2,"yes","yes",4.4,5,4.6,2.8
"22",37,"Male","Yes","dip","full-time",10000,"",3,0,"Village","Ecuador","Divorced",1,0,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,2,3,2,1,"yes","no",4,4,3.55,2.2
"23",55,"Male","No","deg","full-time",87500,"",0,6,"Large Town","Afghanistan","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,3,3.2,2.4
"24",55,"Female","Yes","deg","full-time",10000,"",7,0,"Village","Afghanistan","Divorced",4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3,2.8,1.4
"25",80,"Female","No","grade","unemployed",10000,"",0,0,"Medium-Sized","Afghanistan","Single",0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3,3,3.2,2.8
"26",55,"Male","Yes","ma","full-time",150000,"",0,0,"Large Town","Afghanistan","Married",4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,4,3.7,2.4
"27",20,"Male","No","high","student",NA,"",0,0,"Village","Panama","Single",0,0,5,5,5,5,5,1,5,4,5,5,5,5,5,2,5,4,3,5,1,5,5,3,2,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3,1,4,1,"yes","no",5,4,3.95,2
"28",45,"Female","No","phd","full-time",87500,"",10,6,"Small Town","United States","Divorced",0,0,4,4,4,4,4,1,1,1,2,3,4,2,5,3,4,2,2,2,2,2,4,2,2,5,1,2,5,3,4,2,2,5,1,2,4,4,1,2,4,3,2,3,2,4,2,"yes","no",4,2,2.9,2.6
"29",37,"Male","Yes","ma","full-time",10000,"",0,0,"Small Town","Pakistan","Married",1,1,3,4,4,3,3,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,4,4,4,4,4,"yes","yes",3.4,3,3.15,4
"30",16,"Male","No","lthigh","student",NA,"",10,0,"Small Town","Estonia","Single",0,0,5,5,4,4,4,3,4,5,4,4,4,5,4,4,5,3,4,3,4,3,5,3,3,4,3,2,5,4,4,3,5,5,3,3,4,4,3,4,5,4,1,3,3,2,1,"yes","yes",4.4,4,3.8,2
"31",23,"Female","No","deg","full-time",35000,"",0,3,"Village","Kenya","Single",0,0,5,5,5,1,1,1,5,5,5,4,2,4,4,5,4,1,4,1,5,5,4,2,4,5,3,3,3,5,4,4,2,4,2,2,4,5,1,4,4,4,3,3,3,2,3,"yes","yes",3.4,4,3.45,2.8
"32",32,"Female","No","ltuni","full-time",55000,"",6,9,"Village","Guyana","Single",0,0,2,2,3,1,1,1,3,3,3,1,3,2,2,1,1,3,3,3,3,2,2,3,3,3,3,4,3,3,3,2,4,3,3,3,3,1,3,3,3,3,4,4,4,3,3,"no","no",1.8,2,2.9,3.6
"33",23,"Male","No","ma","student",10000,"",0,9,"Village","United States","Single",0,0,5,5,5,5,5,3,4,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,5,4.95,1
"34",55,"Female","Yes","phd","full-time",67500,"",NA,0,"Small Town","United States","Married",0,2,5,5,5,4,4,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,2,4,3,3,2,"yes","yes",4.6,4,3.85,2.8
"35",32,"Female","Yes","phd","unemployed",NA,"",5,0,"Medium-Sized","United States","Married",3,0,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,2,1,2,4,1,"yes","yes",5,4,4.05,2
"36",37,"Male","Yes","deg","full-time",150000,"",2,0,"Medium-Sized","United Kingdom","Married",1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,"yes","yes",3,3,2.55,3.4
"37",19,"Male","No","ltuni","full-time",150000,"",1,0,"Small Town","United Kingdom","Single",0,0,4,1,1,1,1,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,5,2,1,1,1,"yes","yes",1.6,2,3.05,2
"38",20,"Male","No","ltuni","student",10000,"",0,0,"Large-City","Croatia","Single",0,0,3,4,1,1,1,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,3,4,4,3,3,"yes","no",2,3,2.65,3.4
"39",28,"Male","No","deg","full-time",15000,"",1,0,"Village","Croatia","Single",0,0,5,4,3,3,2,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,4,4,3,5,4,"yes","no",3.4,2,3.5,4
"40",45,"Female","Yes","deg","part-time",NA,"",10,0,"Village","Croatia","Married",1,2,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,"yes","yes",3.4,2,2.7,3.4
"41",37,"Female","No","deg","full-time",35000,"",2,10,"Village","Croatia","Married",0,0,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,4,4,5,5,5,"yes","no",2,3,3,4.6
"42",28,"Male","No","ltuni","unemployed",NA,"",0,0,"Large-City","China","Single",0,0,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,"yes","yes",5,5,4.8,1.4
"43",32,"Male","No","deg","full-time",87500,"Financial Analyst",0,6,"Large-City","Hungary","Single",0,0,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,3,4,3,3,2,"yes","no",2.4,3,2.3,3
"44",55,"Female","No","ltuni","full-time",35000,"Language Trainer",14,0,"Large Town","Austria","Married",0,0,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,"yes","yes",4.4,3,3.75,3.4
"45",32,"Male","No","deg","part-time",35000,"Editor",0,2,"Medium-Sized","Austria","Married",0,0,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,"yes","yes",3.6,3,3.25,2.6
"46",37,"Female","No","ltuni","part-time",15000,"",10,0,"Village","Austria","Married",0,0,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,"yes","yes",4.2,4,4.3,1.8
"47",80,"Female","Yes","phd","full-time",250000,"",30,11,"Large-City","Brunei","Separated",10,10,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3,3,5
"48",80,"Male","Yes","ltuni","retired",250000,"Retired",14,7,"Medium-Sized","Kazakhstan","Married",0,7,5,1,5,4,4,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3,4,3,5,2,"yes","yes",3.8,2,3.1,3.4
"49",45,"Female","Yes","high","part-time",10000,"Sales",30,0,"Small Town","Malta","Married",2,1,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,"yes","yes",1.6,2,2.15,3
"50",32,"Female","No","ma","full-time",67500,"",2,0,"Rural/Country","Malta","Single",0,0,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,"yes","no",2.4,3,2.65,2
"51",45,"Female","No","deg","full-time",NA,"Civil Servant",17,0,"Small City","Luxembourg","Separated",0,0,2,2,5,2,2,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2,4,3,3,4,"yes","yes",2.6,2,2.3,3.2
"52",16,"Male","No","ltuni","part-time",10000,"",17,0,"Medium-Sized","Lebanon","Single",0,0,3,5,4,4,4,1,1,3,2,4,5,5,5,4,5,1,3,4,3,5,3,5,2,2,5,4,4,1,2,1,4,5,1,4,4,4,5,2,5,2,2,1,2,1,1,"yes","yes",4,3,3.25,1.4
"53",16,"Female","No","","student",NA,"",14,0,"Medium-Sized","Singapore","Single",0,0,5,5,5,3,3,2,1,1,4,2,3,5,4,2,5,5,1,4,2,1,5,2,4,2,3,3,3,4,5,5,1,5,3,3,4,5,3,5,5,5,3,2,2,2,2,"yes","yes",4.2,3,3.75,2.2
"54",7,"Male","No","lthigh","student",10000,"",2,4,"Large Town","Singapore","Single",0,0,4,4,3,1,1,1,1,3,1,1,3,5,1,3,3,3,1,1,1,1,1,1,3,1,4,2,3,3,2,1,4,2,1,1,3,3,1,5,5,2,1,1,1,1,1,"yes","no",2.6,2,2.4,1
"55",25,"Female","No","deg","full-time",15000,"",2,0,"Small Town","Singapore","Single",0,0,3,2,1,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,3,"yes","no",2,3,2.6,2.8
"56",28,"Male","No","deg","full-time",25000,"",4,0,"Village","Singapore","Single",0,0,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,1,1,1,1,1,"yes","no",5,4,4.35,1
"57",45,"Male","No","ma","full-time",150000,"",6,0,"Village","Singapore","Single",0,0,3,2,3,3,3,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3,3,3,2,4,"no","no",2.8,2,3.25,3
"58",28,"Male","No","deg","full-time",25000,"",0,3,"Village","Singapore","Single",0,0,4,4,4,4,3,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,2,2,3,1,2,"yes","yes",3.8,4,3.4,2
"59",37,"Male","Yes","ma","full-time",150000,"Economy",7,0,"Large-City","Venezuela","Divorced",1,1,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","",2,3,3,2
"60",45,"Male","Yes","dip","full-time",35000,"Sales",4,0,"Small City","Venezuela","Married",2,1,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3,4,4,4,4,"yes","yes",3.6,4,3.2,3.8
"61",28,"Female","No","ma","part-time",25000,"",0,0,"Large-City","Uruguay","Single",0,0,4,4,1,1,1,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,5,5,5,4,5,"yes","no",2.2,3,2.8,4.8
"62",24,"Male","No","high","student",NA,"",0,0,"Village","Uruguay","Single",0,0,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,1,1,2,2,1,"yes","yes",5,4,4.1,1.4
"63",32,"Male","No","dip","part-time",10000,"",0,3,"Small Town","Uruguay","Single",0,0,5,5,5,4,4,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,3,5,4,5,3,"yes","yes",4.6,4,4.1,4
"64",32,"Female","No","deg","full-time",67500,"Manager",3,0,"Large-City","Argentina","Single",0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,2,2.35,3.6
"65",67,"Male","Yes","","part-time",150000,"Business Consulta",12,0,"Small Town","Argentina","Married",3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,3,2.6,3.4
"66",45,"Male","Yes","deg","full-time",55000,"",7,0,"Village","Argentina","Married",1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6
"67",16,"Female","No","lthigh","student",10000,"",1,0,"Small Town","Argentina","Single",0,0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,"yes","no",1.8,3,3.25,3.4
"68",37,"Male","No","deg","full-time",67500,"",17,0,"Large-City","Egypt","Married",0,0,3,2,1,1,1,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3,3,3,4,1,"yes","yes",1.6,3,3.3,2.8
"69",22,"Female","No","deg","full-time",10000,"Copy Writer",0,3,"Large-City","Nicaragua","Single",0,0,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,4,4,4,3,4,"yes","yes",3.6,4,3.35,3.8
"70",45,"Male","No","ma","full-time",67500,"Consultant",3,0,"Large-City","Myanmar","Married",0,0,3,1,1,1,1,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,5,5,3,3,1,"yes","yes",1.4,4,3.85,3.4
"71",45,"Male","No","ltuni","full-time",150000,"Chairman Of The Board",2,1,"Large Town","Peru","Married",0,0,4,4,4,3,3,2,2,4,3,4,5,5,4,4,4,3,2,3,2,4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,5,5,4,4,3,3,3,2,3,2,"yes","yes",3.6,3,3.75,2.6
"72",16,"Female","No","lthigh","student",10000,"",1,5,"Village","Peru","Single",0,0,4,4,4,4,5,1,4,4,5,2,2,5,4,2,5,5,4,5,5,3,5,1,2,4,5,2,5,4,5,4,2,5,2,3,5,5,3,5,5,5,1,3,3,1,4,"yes","no",4.2,4,3.85,2.4
"73",45,"Female","No","deg","full-time",45000,"",0,0,"Village","Peru","Divorced",0,0,2,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,2,2,2,2,3,1,1,1,2,1,3,1,4,2,2,3,2,1,2,4,3,1,2,1,5,5,5,5,5,"yes","no",1.2,2,2,5
"74",67,"Male","Yes","deg","part-time",87500,"Consultant",4,0,"Large-City","Albania","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2,3,3.8
"75",45,"Female","No","ltuni","full-time",150000,"",0,0,"Large Town","Albania","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2,3.9,3
"76",22,"Female","No","deg","full-time",15000,"Social Policy Analyst",1,3,"Large-City","Dominican Republic","Single",0,0,5,5,3,3,3,3,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,3,1,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,5,2,4,3,4,3,"yes","yes",3.8,5,3.4,3.2
"77",80,"Male","No","ma","retired",45000,"Retired",17,0,"Medium-Sized","Andorra","Single",0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.4,1,2.05,4
"78",55,"Male","Yes","ma","full-time",250000,"Finance",23,0,"Large-City","Andorra","Married",0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2,2.55,3.6
"79",45,"Female","No","deg","full-time",55000,"Translator",14,0,"Medium-Sized","Slovenia","Single",0,0,5,5,5,5,5,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,5,4,4,4,4,3,3,5,3,4,4,5,4,3,3,4,4,3,"yes","yes",5,4,3.75,3.4
"80",32,"Male","Yes","ma","full-time",45000,"Manager",2,0,"Medium-Sized","Slovenia","Married",2,0,4,4,5,5,5,1,1,1,2,5,5,4,5,4,5,4,2,1,2,3,4,3,3,1,3,4,4,4,5,3,2,4,1,3,5,4,4,4,5,3,2,2,2,3,2,"yes","yes",4.6,3,3.45,2.2
"81",21,"Male","No","ltuni","student",10000,"",2,7,"Medium-Sized","Slovenia","Single",0,0,5,5,4,4,4,4,5,5,4,3,5,4,5,4,5,4,4,4,4,4,5,4,4,5,5,3,4,4,4,4,1,4,4,4,5,5,4,5,3,4,4,4,4,4,4,"yes","yes",4.4,4,4.05,4
"82",21,"Female","No","ltuni","student",NA,"",0,0,"Village","Slovenia","Single",0,0,1,3,1,1,1,1,1,1,2,1,1,2,3,1,3,1,1,3,1,1,5,1,1,3,2,2,4,2,1,2,5,3,1,3,4,2,2,4,5,5,4,4,5,5,5,"no","no",1.4,2,2.85,4.6
"83",21,"Female","No","ltuni","student",10000,"",0,0,"Small City","Slovenia","Single",0,0,4,5,3,3,3,1,1,1,1,2,1,3,5,1,5,5,1,3,1,5,5,4,2,5,1,1,5,2,5,1,5,5,3,3,4,4,2,5,5,5,2,4,1,1,1,"yes","yes",3.6,2,3.6,1.8
"84",21,"Male","No","ltuni","student",10000,"",0,0,"Small Town","Slovenia","Single",0,0,5,5,5,5,5,4,1,3,4,4,5,5,4,3,5,3,1,5,1,4,5,3,5,4,5,4,5,4,5,2,2,5,5,4,5,4,5,5,5,4,1,1,2,2,1,"yes","yes",5,3,4.3,1.4
"85",37,"Male","No","ma","full-time",67500,"Technical Director",1,2,"Large-City","Russia","Married",0,0,4,4,4,3,4,2,3,4,3,3,4,2,3,2,3,3,2,2,4,5,2,1,2,2,3,1,2,3,4,4,2,4,4,2,4,4,1,3,1,2,2,3,3,2,1,"yes","no",3.8,3,2.55,2.2
